id,item
OIC-270,"Douleurs lombaires aiguës"
OIC-271,"Reflux gastro-œsophagien chez le nourrisson, chez l’enfant et chez l’adulte. Hernie hiatale"
OIC-272,"Ulcère gastrique et duodénal. Gastrite"
OIC-273,"Dysphagie"
OIC-274,"Vomissements du nourrisson, de l’enfant et de l’adulte"
OIC-275,"Splénomégalie"
OIC-276,"Hépatomégalie et masse abdominale"
OIC-277,"Lithiase biliaire et complications"
OIC-278,"Ictère de l’adulte et de l’enfant"
OIC-279,"Cirrhose et complications"
OIC-280,"Ascite"
OIC-281,"Pancréatite chronique"
OIC-282,"Maladies inflammatoires chroniques de l’intestin (MICI) chez l’adulte"
OIC-283,"Constipation chez l’enfant et l’adulte"
OIC-284,"Colopathie fonctionnelle"
2C-285-,""
OIC-286,"Diarrhée aiguë et déshydratation chez le nourrisson, l’enfant et l’adulte"
OIC-287,"Diverticulose colique et diverticulite aiguë du sigmoïde"
OIC-288,"Pathologie hémorroïdaire"
OIC-289,"Hernie pariétale chez l’enfant et l’adulte"
OIC-290,"Épidémiologie, facteurs de risque, prévention et dépistage des cancers"
OIC-291,"Cancer : cancérogénèse, oncogénétique"
OIC-292,"Diagnostic des cancers : signes d’appel et investigations para-cliniques ; caractérisation du stade ; pronostic"
OIC-293,"Le médecin préleveur de cellules et/ou de tissus pour des examens d’Anatomie et Cytologie Pathologiques : connaître les principes de réalisation, transmission et utilisation des prélèvements à visée sanitaire et de recherche"
OIC-294,"Traitement des cancers : principales modalités, classes thérapeutiques et leurs complications majeures. La décision thérapeutique pluridisciplinaire et l’information du malade"
OIC-295,"Prise en charge et accompagnement d’un malade atteint de cancer à tous les stades de la maladie dont le stade de soins palliatifs en abordant les problématiques techniques, relationnelles, sociales et éthiques"
OIC-296,"Agranulocytose médicamenteuse : conduite à tenir"
OIC-297,"Cancer de l’enfant : particularités épidémiologiques, diagnostiques et thérapeutiques"
OIC-298,"Tumeurs de la cavité buccale, naso-sinusiennes et du cavum, et des voies aérodigestives supérieures"
OIC-299,"Tumeurs intracrâniennes"
OIC-300,"Tumeurs du col utérin, tumeur du corps utérin"
OIC-301,"Tumeurs du colon et du rectum"
OIC-302,"Tumeurs cutanées, épithéliales et mélaniques"
OIC-303,"Tumeurs de l’estomac"
OIC-304,"Tumeurs du foie, primitives et secondaires"
OIC-305,"Tumeurs de l’œsophage"
OIC-306,"Tumeurs de l’ovaire"
OIC-307,"Tumeurs des os primitives et secondaires"
OIC-308,"Tumeurs du pancréas"
OIC-309,"Tumeurs du poumon, primitives et secondaires"
OIC-310,"Tumeurs de la prostate"
OIC-311,"Tumeurs du rein de l’adulte"
OIC-312,"Tumeurs du sein"
OIC-313,"Tumeurs du testicule"
OIC-314,"Tumeurs vésicales"
OIC-315,"Leucémies aiguës"
OIC-316,"Syndromes myélodysplasiques"
OIC-317,"Syndromes myéloprolifératifs"
OIC-318,"Leucémies lymphoïdes chroniques"
OIC-319,"Lymphomes malins"
OIC-320,"Myélome multiple des os"
OIC-321,"Principe du bon usage du médicament et des thérapeutiques non médicamenteuses"
OIC-322,"La décision thérapeutique personnalisée : bon usage dans des situations à risque"
OIC-323,"Analyser et utiliser les résultats des études cliniques dans la perspective du bon usage - analyse critique, recherche clinique et niveaux de preuve (voir item 3)"
